entity_id,entity_type,expected_classification,expected_match_target,notes
ORD4089,order,fee_mismatch,pay_000090,gateway fee exceeds rule for card by 2.25
ORD4090,order,unsettled,,captured near end of window; not yet paid out. CORRECTLY unmatched -- not an error
ORD4091,order,clean,,matches 1:1 with its payment
ORD4092,order,clean,,matches 1:1 with its payment
ORD4093,order,clean,,matches 1:1 with its payment
ORD4094,order,clean,,matches 1:1 with its payment
ORD4095,order,chargeback,,"chargeback reverses the sale in a LATER settlement period, plus a penalty fee"
ORD4096,order,duplicate,,two captures exist for one order; the voided one must be excluded from settlement
ORD4097,order,clean,,matches 1:1 with its payment
ORD4098,order,clean,,matches 1:1 with its payment
ORD4099,order,refund,pay_000100,full refund; net settlement contribution is negative
ORD4100,order,unsettled,,captured near end of window; not yet paid out. CORRECTLY unmatched -- not an error
ORD4101,order,clean,,matches 1:1 with its payment
ORD4102,order,clean,,matches 1:1 with its payment
ORD4103,order,clean,,matches 1:1 with its payment
ORD4104,order,clean,,matches 1:1 with its payment
ORD4105,order,unsettled,,captured near end of window; not yet paid out. CORRECTLY unmatched -- not an error
ORD4106,order,clean,,matches 1:1 with its payment
ORD4107,order,clean,,matches 1:1 with its payment
ORD4108,order,clean,,matches 1:1 with its payment
ORD4109,order,clean,,matches 1:1 with its payment
ORD4110,order,failed_payment,pay_000111,payment attempt failed; no bank credit will ever exist
ORD4111,order,clean,,matches 1:1 with its payment
ORD4112,order,clean,,matches 1:1 with its payment
ORD4113,order,clean,,matches 1:1 with its payment
ORD4114,order,clean,,matches 1:1 with its payment
ORD4115,order,clean,,matches 1:1 with its payment
ORD4116,order,rounding_noise,pay_000117,"1 paise fee drift from a different rounding rule; must be tolerated, not reported"
ORD4117,order,partial_refund,,partial refund of 6250.00 against 12500.00
ORD4118,order,refund,pay_000119,full refund; net settlement contribution is negative
ORD4119,order,clean,,matches 1:1 with its payment
pay_000042,txn,net_arithmetic_error,ORD4041,gross - fee - gst != net; the gateway's own row is internally inconsistent
pay_000056,txn,net_arithmetic_error,ORD4055,gross - fee - gst != net; the gateway's own row is internally inconsistent
